Bio,Description,Director.Bio,Director.Name,Director.YearOfBirth,Director.YearOfDeath,Featured,Genre.Description,Genre.Name,Title,_id,imageURL,imageUrl
,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,"Stephen Chbosky was born on January 25, 1970 in Pittsburgh, Pennsylvania, USA. He is a writer and producer, known for The Perks of Being a Wallflower (2012), Beauty and the Beast (2017) and Wonder (2017). He has been married to Liz Maccie since September 18, 2010. They have two children. ",Stephen Chbosky,1970,,true,"In film and television, drama is a category or genre of narrative fiction (or semi-fiction) intended to be more serious than humorous in tone.",Drama,Perks of being a Wallflower,63ac5ae16252e54be0c264ad,,https://www.imdb.com/title/tt1659337/mediaviewer/rm2134748161/?ref_=tt_ov_i
,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver. ","O.N.: Olivier Nakache was born on April 15, 1973 in Suresnes, Hauts-de-Seine, France. He is a writer and producer, known for The Intouchables (2011), C'est la vie! (2017) and The Specials (2019). / E.T.: Éric Toledano was born on July 3, 1971 in Paris, France. He is a writer and producer, known for The Intouchables (2011), C'est la vie! (2017) and The Specials (2019).  ","[""Oliver Nakache"",""Eric Toledano""]","O.N.: 1973, E.T.: 1971",,true,"A biographical film or biopic  is a film that dramatizes the life of a non-fictional or historically-based person or people. Such films show the life of a historical person and the central character's real name is used.[2] They differ from docudrama films and historical drama films in that they attempt to comprehensively tell a single person's life story or at least the most historically important years of their lives.",Biography,The Intouchables,63ac5af26252e54be0c264ae,,https://www.imdb.com/title/tt1675434/mediaviewer/rm1305720576/?ref_=tt_ov_i
,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.","Wolfgang Becker was born on June 22, 1954 in Hemer, North Rhine-Westphalia, Germany. He is a director and writer, known for Good Bye Lenin! (2003), Fjärilar (1988) and Child's Play (1992).",Wolfgang Becker,1954 ,,false,A comedy film is a category of film which emphasizes humor.[1] These films are designed to make the audience laugh through amusement.[2] Films in this style traditionally have a happy ending (black comedy being an exception).,Comedy,Goodbye Lenin,63ac5af86252e54be0c264af,,https://www.imdb.com/title/tt0301357/mediaviewer/rm802921728/?ref_=tt_ov_i
,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Roberto Benigni was born on October 27, 1952 in Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy. He is an actor and writer, known for Life Is Beautiful (1997), The Tiger and the Snow (2005) and Down by Law (1986). He has been married to Nicoletta Braschi since December 26, 1991. ",Roberto Benigni,1952 ,,true,"In film and television, drama is a category or genre of narrative fiction (or semi-fiction) intended to be more serious than humorous in tone.",Drama,Life is beautiful,63ac5b006252e54be0c264b0,,https://www.imdb.com/title/tt0118799/mediaviewer/rm2303464448/?ref_=tt_ov_i 
,A story that exposes the conspiracy of prominent German institutions and government branches to cover up the crimes of Nazis during World War II. ,"Giulio Ricciarelli was born on August 2, 1965 in Milan, Lombardy, Italy. He is an actor and producer, known for Labyrinth of Lies (2014), Lights (2009) and Vincent (2004). He was previously married to Lisa Martinek. ",Giulio Ricciarelli,1965,,false,"In film and television, drama is a category or genre of narrative fiction (or semi-fiction) intended to be more serious than humorous in tone.",Drama,Im Labyrinth des Schweigens,63ac5b076252e54be0c264b1,,https://www.imdb.com/title/tt3825638/mediaviewer/rm1884423936/?ref_=tt_ov_i
,"Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her.","Vincent Ward has produced, executive produced and/or written and directed feature films including What Dreams May Come (Which won an Oscar and was nominated for 2 Academy Awards), The River Queen (Won best film in Shanghai) and The Last Samurai (4 Academy Award nominations and winner of Best Foreign Film in Japan) developing the underlying material he chose the director, before acting as an executive producer on this film. Ward's films have earned critical acclaim and festival attention whilst achieving a wide, eclectic audience. Vigil (1984), The Navigator: A Medieval Odyssey (1988) and Map of the Human Heart (1993) were the first films by a New Zealander to be officially selected for the Cannes Film Festival. Between them they garnered close to 30 national and international awards (including the Grand Prix at festivals in Italy, Spain, Germany, France and the United States). His latest feature film Rain of the Children (2008) was voted by the audience, from 250 feature films, to win the Grand Prix at Poland's largest film festival. The film was also nominated for best director in New Zealand and Australia. Ward was awarded an Order of New Zealand Merit in 2007 and is in the process of actively searching for material for new projects. ",Vincent Ward,1956,,false,"In film and television, drama is a category or genre of narrative fiction (or semi-fiction) intended to be more serious than humorous in tone.",Drama,What dreams may come,63ac5b0c6252e54be0c264b2,,https://www.imdb.com/title/tt0120889/mediaviewer/rm11484160/?ref_=tt_ov_i 
,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis. ","Steven Spielberg, in full Steven Allan Spielberg, (born December 18, 1946, Cincinnati, Ohio, U.S.), American motion-picture director and producer whose diverse films—which ranged from science-fiction fare, including such classics as Close Encounters of the Third Kind (1977) and E.T.: The Extra-Terrestrial (1982), to historical dramas, notably Schindler’s List (1993) and Saving Private Ryan (1998)—enjoyed both unprecedented popularity and critical success. ",Steven Spielberg,1946,,false,"A biographical film or biopic  is a film that dramatizes the life of a non-fictional or historically-based person or people. Such films show the life of a historical person and the central character's real name is used.[2] They differ from docudrama films and historical drama films in that they attempt to comprehensively tell a single person's life story or at least the most historically important years of their lives.",Biography,"Schindler's List",63ac5b166252e54be0c264b3,,https://www.imdb.com/title/tt0108052/mediaviewer/rm1610023168/?ref_=tt_ov_i 
"Peter Weir was born on August 21, 1944 in Sydney, New South Wales, Australia. He is a director and writer, known for Master and Commander: The Far Side of the World (2003), The Truman Show (1998) and Dead Poets Society (1989). He has been married to Wendy Stites since 1966. They have two children.","Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression, self-confidence and independence.","Peter Weir was born on August 21, 1944 in Sydney, New South Wales, Australia. He is a director and writer, known for Master and Commander: The Far Side of the World (2003), The Way Back (2010) and Witness (1985). He has been married to Wendy Stites since 1966. They have two children.",Peter Weir,1944 ,,true,"In film and television, drama is a category or genre of narrative fiction (or semi-fiction) intended to be more serious than humorous in tone.",Drama,Dead Poets Society,63ac5b1b6252e54be0c264b4,,https://www.imdb.com/title/tt0097165/mediaviewer/rm1115750912/?ref_=tt_ov_i
,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Steven Spielberg, in full Steven Allan Spielberg, (born December 18, 1946, Cincinnati, Ohio, U.S.), American motion-picture director and producer whose diverse films—which ranged from science-fiction fare, including such classics as Close Encounters of the Third Kind (1977) and E.T.: The Extra-Terrestrial (1982), to historical dramas, notably Schindler’s List (1993) and Saving Private Ryan (1998)—enjoyed both unprecedented popularity and critical success. ",Steven Spielberg,1946,,true,"A biographical film or biopic  is a film that dramatizes the life of a non-fictional or historically-based person or people. Such films show the life of a historical person and the central character's real name is used.[2] They differ from docudrama films and historical drama films in that they attempt to comprehensively tell a single person's life story or at least the most historically important years of their lives.",Biography,Catch me if you can,63ac5b206252e54be0c264b5,https://www.imdb.com/title/tt0264464/mediaviewer/rm3911489536/?ref_=tt_ov_i,
"Peter Weir was born on August 21, 1944 in Sydney, New South Wales, Australia. He is a director and writer, known for Master and Commander: The Far Side of the World (2003), The Truman Show (1998) and Dead Poets Society (1989). He has been married to Wendy Stites since 1966. They have two children.",An insurance salesman discovers his whole life is actually a reality TV show.,"Peter Weir was born on August 21, 1944 in Sydney, New South Wales, Australia. He is a director and writer, known for Master and Commander: The Far Side of the World (2003), The Way Back (2010) and Witness (1985). He has been married to Wendy Stites since 1966. They have two children.",Peter Weir,1944 ,,false,A comedy film is a category of film which emphasizes humor.[1] These films are designed to make the audience laugh through amusement.[2] Films in this style traditionally have a happy ending (black comedy being an exception).,Comedy,The Truman Show,63ac5b266252e54be0c264b6,https://www.imdb.com/title/tt0120382/mediaviewer/rm1927354112/?ref_=tt_ov_i,
